,season,team,strength,TOI,goals,goals_against
131,2020,Washington Capitals,"(4, 3)",198,1,0
132,2020,Washington Capitals,"(3, 4)",142,0,0
133,2020,Washington Capitals,"(5, 3)",153,2,1
134,2020,Washington Capitals,"(3, 5)",284,0,1
135,2020,New York Rangers,"(5, 5)",164612,127,114
136,2020,New York Rangers,"(5, 4)",17486,35,4
137,2020,New York Rangers,"(4, 5)",16851,8,30
138,2020,New York Rangers,"(4, 4)",2005,2,3
139,2020,New York Rangers,"(3, 3)",1664,2,4
140,2020,New York Rangers,"(4, 3)",253,0,0
141,2020,New York Rangers,"(3, 4)",55,0,0
142,2020,New York Rangers,"(5, 3)",236,2,0
143,2020,New York Rangers,"(3, 5)",260,0,0
144,2020,Dallas Stars,"(5, 5)",169318,111,103
145,2020,Dallas Stars,"(5, 4)",15516,35,4
146,2020,Dallas Stars,"(4, 5)",15062,3,30
147,2020,Dallas Stars,"(4, 4)",1619,2,2
148,2020,Dallas Stars,"(3, 3)",3739,3,5
149,2020,Dallas Stars,"(4, 3)",120,0,0
150,2020,Dallas Stars,"(3, 4)",526,0,2
151,2020,Dallas Stars,"(5, 3)",214,2,0
152,2020,Dallas Stars,"(3, 5)",0,0,0
153,2020,Colorado Avalanche,"(5, 5)",192093,168,118
154,2020,Colorado Avalanche,"(5, 4)",22118,55,3
155,2020,Colorado Avalanche,"(4, 5)",19609,2,29
156,2020,Colorado Avalanche,"(4, 4)",3151,4,2
157,2020,Colorado Avalanche,"(3, 3)",882,4,2
158,2020,Colorado Avalanche,"(4, 3)",214,0,0
159,2020,Colorado Avalanche,"(3, 4)",272,0,2
160,2020,Colorado Avalanche,"(5, 3)",374,2,0
161,2020,Colorado Avalanche,"(3, 5)",183,0,2
162,2020,Montréal Canadiens,"(5, 5)",233794,153,163
163,2020,Montréal Canadiens,"(5, 4)",19721,37,3
164,2020,Montréal Canadiens,"(4, 5)",21945,13,40
165,2020,Montréal Canadiens,"(4, 4)",3035,1,2
166,2020,Montréal Canadiens,"(3, 3)",2954,3,8
167,2020,Montréal Canadiens,"(4, 3)",115,0,0
168,2020,Montréal Canadiens,"(3, 4)",35,0,0
169,2020,Montréal Canadiens,"(5, 3)",210,2,0
170,2020,Montréal Canadiens,"(3, 5)",605,0,2
171,2020,Carolina Hurricanes,"(5, 5)",202000,143,114
172,2020,Carolina Hurricanes,"(5, 4)",18493,46,5
173,2020,Carolina Hurricanes,"(4, 5)",21509,7,32
174,2020,Carolina Hurricanes,"(4, 4)",3554,4,0
175,2020,Carolina Hurricanes,"(3, 3)",3063,5,6
176,2020,Carolina Hurricanes,"(4, 3)",161,0,0
177,2020,Carolina Hurricanes,"(3, 4)",208,0,0
178,2020,Carolina Hurricanes,"(5, 3)",132,1,0
179,2020,Carolina Hurricanes,"(3, 5)",357,0,4
180,2020,Detroit Red Wings,"(5, 5)",168328,105,122
181,2020,Detroit Red Wings,"(5, 4)",15474,16,4
182,2020,Detroit Red Wings,"(4, 5)",14873,0,33
183,2020,Detroit Red Wings,"(4, 4)",2440,2,1
184,2020,Detroit Red Wings,"(3, 3)",2588,1,7
185,2020,Detroit Red Wings,"(4, 3)",3,0,0
186,2020,Detroit Red Wings,"(3, 4)",30,0,0
187,2020,Detroit Red Wings,"(5, 3)",303,1,0
188,2020,Detroit Red Wings,"(3, 5)",149,0,0
189,2020,Anaheim Ducks,"(5, 5)",169296,107,132
190,2020,Anaheim Ducks,"(5, 4)",12729,8,4
191,2020,Anaheim Ducks,"(4, 5)",16665,1,32
192,2020,Anaheim Ducks,"(4, 4)",2354,2,0
193,2020,Anaheim Ducks,"(3, 3)",2149,2,7
194,2020,Anaheim Ducks,"(4, 3)",278,2,0
195,2020,Anaheim Ducks,"(3, 4)",137,0,0
196,2020,Anaheim Ducks,"(5, 3)",194,1,0
197,2020,Anaheim Ducks,"(3, 5)",209,0,1
198,2020,Los Angeles Kings,"(5, 5)",166491,104,132
199,2020,Los Angeles Kings,"(5, 4)",16976,29,3
200,2020,Los Angeles Kings,"(4, 5)",15706,3,26
201,2020,Los Angeles Kings,"(4, 4)",2295,2,3
202,2020,Los Angeles Kings,"(3, 3)",1490,1,5
203,2020,Los Angeles Kings,"(4, 3)",0,0,0
204,2020,Los Angeles Kings,"(3, 4)",180,0,0
205,2020,Los Angeles Kings,"(5, 3)",195,3,0
206,2020,Los Angeles Kings,"(3, 5)",103,0,0
207,2020,Calgary Flames,"(5, 5)",164189,119,114
208,2020,Calgary Flames,"(5, 4)",17467,30,7
209,2020,Calgary Flames,"(4, 5)",16711,2,29
210,2020,Calgary Flames,"(4, 4)",2790,0,4
211,2020,Calgary Flames,"(3, 3)",984,2,2
212,2020,Calgary Flames,"(4, 3)",85,1,0
213,2020,Calgary Flames,"(3, 4)",20,0,0
